Stadt;Ortsteil;Straße;Zone;Härtegrad;Natrium;Kalium;Calcium;Magnesium;Chlorid;Nitrat;Sulfat;Anmerkungen;Jahresmittelwerte;Quelle
Löwenstein;Rittelhof;;;9;k.A.;k.A.;48;7,7;;4,8 ;36;;k. A.;100 % Bodenseewasser
Löwenstein;Seemühle;;;9;k.A.;k.A.;48;7,7;;4,8 ;36;;k. A.;100 % Bodenseewasser
Massenbach;;;;24;;;;;;;;;;
Massenbachhausen;;;;24;;;;;;;;angefragt;;
Möckmühl;;;;;;;;;;;;angefragt;;
Neckarbischofsheim;Helmhof;;;12,1;17,9;2,5;67,2;11,8;30,5;14,4;47,9;;2014;Mischwasser
Neckarbischofsheim;Kernstadt;;;12,7;7,1;1,1;65,3;15,7;15,4;17,4;16,3;;2014;Mischwasser
Neckarbischofsheim;Untergimpern;;;12,1;17,9;2,5;67,2;11,8;30,5;14,4;47,9;;2014;Mischwasser
Neckarsulm;Amorbach;;;16,1;7,1;1,5;83,1;19,6;;10,8;80,3;;2013;Mischwasser, 70 % Bodenseewasser, 30 % Eigenwasser
Neckarsulm;Dahenfeld;;;11,6;6,3;1,5;62,9;12,1;;6,2;47,4;;;
Neckarsulm;Obereisesheim;;;17,9;23;3;100;17;;8,2;94,3;;;
Neckarsulm;Kernstadt;Amselweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Christian-Rieker-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Damaschkestr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Dammstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Drosselweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Elsternweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Erzbergerstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Eulenweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
